compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Clofarabine,RidgeCV,pathway_modules_lineage,multiomics_pathway,3,264,66,0.439290804224444,0.30466548376996144,0.16144985601010883,0.13365693642620785,0.18723619077990783
Clofarabine,RidgeCV,pathway_modules_lineage,multiomics_pathway,4,264,66,0.6486975757495318,0.47059683150633375,0.17001823961685975,0.1380848981600499,0.4017296696925621
Clofarabine,RidgeCV,pathway_modules_lineage,multiomics_pathway,5,264,66,0.4621342910151863,0.20563830121463714,0.16816775305127302,0.14107306352076152,0.20480765141695678
Vincristine,LightGBM,pathway_modules,multiomics_pathway,1,299,75,0.5147330534576557,0.4696443812233286,0.22354228734563725,0.17917435490097225,0.25870189931876575
Vincristine,LightGBM,pathway_modules,multiomics_pathway,2,299,75,0.5646104083463063,0.47425320056899,0.2028109021198098,0.16467727492289938,0.30708156987869295
Vincristine,LightGBM,pathway_modules,multiomics_pathway,3,299,75,0.6722605006394301,0.6382930298719772,0.14808684323707685,0.12276800496124186,0.43487110179240107
Vincristine,LightGBM,pathway_modules,multiomics_pathway,4,299,75,0.6710091951511185,0.6198293029871977,0.17453170034548784,0.13844101577728268,0.4436899315592633
Vincristine,LightGBM,pathway_modules,multiomics_pathway,5,300,74,0.4642020834851496,0.364176231025546,0.1864273893604643,0.1543739992356283,0.20859151323137082
SB-743921,LightGBM,pathway_modules,multiomics_pathway,1,282,71,0.4779532221215492,0.5109993293091885,0.20452640707754724,0.16293987478969038,0.18482615699038074
SB-743921,LightGBM,pathway_modules,multiomics_pathway,2,282,71,0.5169447904628133,0.5448356807511737,0.21252277806767977,0.1660299617904073,0.2649133616533287
SB-743921,LightGBM,pathway_modules,multiomics_pathway,3,282,71,0.5165326992225195,0.5108651911468812,0.22076843634092191,0.17892042329379293,0.26512214523571376
SB-743921,LightGBM,pathway_modules,multiomics_pathway,4,283,70,0.48044219400576443,0.4706324905957484,0.1942238252125269,0.16279196068873814,0.197351364105121
SB-743921,LightGBM,pathway_modules,multiomics_pathway,5,283,70,0.40854203387398524,0.3473186947773598,0.23360929193758817,0.18693786981018448,0.14508325843104997
Oligomycin A,LightGBM,pathway_modules,multiomics_pathway,1,271,68,0.18387586441408404,0.14334249514185224,0.2392205015430372,0.19842227954505498,-0.16231658214130373
Oligomycin A,LightGBM,pathway_modules,multiomics_pathway,2,271,68,0.21318317220121216,0.24437912738099782,0.24112360505752076,0.1909962920325885,-0.006702022006151553
Oligomycin A,LightGBM,pathway_modules,multiomics_pathway,3,271,68,0.3517383907985234,0.3670267587891743,0.21684083626646572,0.17852662568903846,0.12249500934401536
Oligomycin A,LightGBM,pathway_modules,multiomics_pathway,4,271,68,0.31306470169450906,0.365614383326335,0.21212346781691716,0.16181404220303108,0.08579442560052708
Oligomycin A,LightGBM,pathway_modules,multiomics_pathway,5,272,67,0.27818217698383485,0.3397318221725597,0.2648454495586554,0.20141834964102437,0.032734101050679976
BI-2536,LightGBM,pathway_modules,multiomics_pathway,1,287,72,0.7188442124958148,0.6621647694385493,0.15419416918632373,0.11991051893099335,0.48387880515851023
BI-2536,LightGBM,pathway_modules,multiomics_pathway,2,287,72,0.4985101991604143,0.557399189658499,0.19970724857310793,0.15159146573327875,0.24791360779416238
BI-2536,LightGBM,pathway_modules,multiomics_pathway,3,287,72,0.5092023216756809,0.4617017171522285,0.16937928758823653,0.13597042889512656,0.25574564225321095
BI-2536,LightGBM,pathway_modules,multiomics_pathway,4,287,72,0.5540182408281048,0.36539327287928486,0.1768925692120349,0.14341093955186576,0.30498240680946054
BI-2536,LightGBM,pathway_modules,multiomics_pathway,5,288,71,0.5290407508160756,0.45804828973843054,0.16906634495723127,0.1333394306100381,0.2713789820728151
"1S,3R-RSL-3",LightGBM,pathway_modules,multiomics_pathway,1,292,74,0.4005821991331232,0.3544613106256941,0.2042999430621248,0.16909964509479022,0.1538582631347052
"1S,3R-RSL-3",LightGBM,pathway_modules,multiomics_pathway,2,293,73,0.37510648950704795,0.3319141058867087,0.18276542960426356,0.14987545991054382,0.1276366821721483
